_id,company,category,group,modelNumber,size,color,costPrice,markUp,mrp,hsn,additionalIdentifier,billingDescription,UOM
65293da516276a61f95c23a6,Kliq,Handle,Mortise,KQRH 999,Rose,Rosegold Glossy,10000,1.22,12200,8302.42.00,,Kliq-Mortise-Handle-KQRH 999-Rose-Rosegold Glossy,Set
65293da716276a61f95c23a8,Kliq,Handle,Mortise,KQRH 999,Rose,Rosegold Graphite,2832,1.22,3455,8302.42.00,,Kliq-Mortise-Handle-KQRH 999-Rose-Rosegold Graphite,Set
65293daa16276a61f95c23aa,Kliq,Handle,Mortise,KQRH 999,Rose,Black Matt,2832,1.22,3455,8302.42.00,,Kliq-Mortise-Handle-KQRH 999-Rose-Black Matt,Set
65293dab16276a61f95c23ac,Kliq,Handle,Mortise,KQRH 999,Rose,Antic Brass Matt,2832,1.22,3455,8302.42.00,,Kliq-Mortise-Handle-KQRH 999-Rose-Antic Brass Matt,Set
65293dad16276a61f95c23ae,Kliq,Handle,Mortise,KQRH 999,Rose,SS Matt,2832,1.22,3455,8302.42.00,,Kliq-Mortise-Handle-KQRH 999-Rose-SS Matt,Set
65293daf16276a61f95c23b0,Kliq,Handle,Mortise,KQRH 5100,Rose,Black Glossy + Rosegold Glossy,3304,1.22,4031,8302.42.00,,Kliq-Mortise-Handle-KQRH 5100-Rose-Black Glossy + Rosegold Glossy,Set
65293db016276a61f95c23b2,Kliq,Handle,Mortise,KQRH 5100,Rose,Black Matt + Black Glossy,3304,1.22,4031,8302.42.00,,Kliq-Mortise-Handle-KQRH 5100-Rose-Black Matt + Black Glossy,Set
65293db316276a61f95c23b4,Kliq,Handle,Mortise,KQRH 5100,Rose,Grey Graphite + Antic Brass Matt,3304,1.22,4031,8302.42.00,,Kliq-Mortise-Handle-KQRH 5100-Rose-Grey Graphite + Antic Brass Matt,Set
65293db516276a61f95c23b6,Kliq,Handle,Mortise,KQRH 5100,Rose,SS Matt + Grey Graphite,3304,1.22,4031,8302.42.00,,Kliq-Mortise-Handle-KQRH 5100-Rose-SS Matt + Grey Graphite,Set
65293db616276a61f95c23b8,Kliq,Handle,Mortise,KQRH 7100,Rose,Grey Graphite + Rosegold Glossy,3776,1.22,4607,8302.42.00,,Kliq-Mortise-Handle-KQRH 7100-Rose-Grey Graphite + Rosegold Glossy,Set
65293db816276a61f95c23ba,Kliq,Handle,Mortise,KQRH 7100,Rose,Antic Brass + Gold Glossy (PVD),3776,1.22,4607,8302.42.00,,Kliq-Mortise-Handle-KQRH 7100-Rose-Antic Brass + Gold Glossy (PVD),Set
65293db916276a61f95c23bc,Kliq,Handle,Mortise,KQRH 7100,Rose,Grey Graphite + Black Glossy,3776,1.22,4607,8302.42.00,,Kliq-Mortise-Handle-KQRH 7100-Rose-Grey Graphite + Black Glossy,Set
65293dba16276a61f95c23be,Kliq,Handle,Knob,CH 555,40MM,Rosegold Glossy,708,1.49,1055,8302.42.00,CH 555,Kliq-Knob-Handle-CH 555-40MM-Rosegold Glossy,Nos
65293dbc16276a61f95c23c0,Kliq,Handle,Knob,CH 555,40MM,Rosegold Graphite,708,1.49,1055,8302.42.00,CH 555,Kliq-Knob-Handle-CH 555-40MM-Rosegold Graphite,Nos
65293dbe16276a61f95c23c2,Kliq,Handle,Knob,CH 555,40MM,Gold Glossy,708,1.49,1055,8302.42.00,CH 555,Kliq-Knob-Handle-CH 555-40MM-Gold Glossy,Nos
65293dbf16276a61f95c23c4,Kliq,Handle,Knob,CH 555,40MM,Black Glossy,708,1.49,1055,8302.42.00,CH 555,Kliq-Knob-Handle-CH 555-40MM-Black Glossy,Nos
65293dc116276a61f95c23c6,Kliq,Handle,Knob,CH 555,40MM,Black Matt,708,1.49,1055,8302.42.00,CH 555,Kliq-Knob-Handle-CH 555-40MM-Black Matt,Nos
65293dc216276a61f95c23c8,Kliq,Handle,Knob,CH 555,65MM,Rosegold Glossy,1121,1.49,1670,8302.42.00,CH 666,Kliq-Knob-Handle-CH 555-65MM-Rosegold Glossy,Nos
65293dc416276a61f95c23ca,Kliq,Handle,Knob,CH 555,65MM,Rosegold Graphite,1121,1.49,1670,8302.42.00,CH 666,Kliq-Knob-Handle-CH 555-65MM-Rosegold Graphite,Nos
65293dc516276a61f95c23cc,Kliq,Handle,Knob,CH 555,65MM,Gold Glossy,1121,1.49,1670,8302.42.00,CH 666,Kliq-Knob-Handle-CH 555-65MM-Gold Glossy,Nos
65293dc616276a61f95c23ce,Kliq,Handle,Knob,CH 555,65MM,Black Glossy,1121,1.49,1670,8302.42.00,CH 666,Kliq-Knob-Handle-CH 555-65MM-Black Glossy,Nos
65293dc816276a61f95c23d0,Kliq,Handle,Knob,CH 555,65MM,Black Matt,1121,1.49,1670,8302.42.00,CH 666,Kliq-Knob-Handle-CH 555-65MM-Black Matt,Nos
65293dc916276a61f95c23d2,Kliq,Handle,Knob,CH 777,40MM,Rosegold Glossy,885,1.49,1319,8302.42.00,CH 777,Kliq-Knob-Handle-CH 777-40MM-Rosegold Glossy,Nos
65293dcb16276a61f95c23d4,Kliq,Handle,Knob,CH 777,40MM,Rosegold Graphite,855,1.49,1274,8302.42.00,CH 777,Kliq-Knob-Handle-CH 777-40MM-Rosegold Graphite,Nos
65293dcd16276a61f95c23d6,Kliq,Handle,Knob,CH 777,40MM,Gold Glossy,855,1.49,1274,8302.42.00,CH 777,Kliq-Knob-Handle-CH 777-40MM-Gold Glossy,Nos
65293dce16276a61f95c23d8,Kliq,Handle,Knob,CH 777,40MM,Black Glossy,1298,1.49,1934,8302.42.00,CH 777,Kliq-Knob-Handle-CH 777-40MM-Black Glossy,Nos
65293dd016276a61f95c23da,Kliq,Handle,Knob,CH 777,40MM,Black Matt,1289,1.49,1921,8302.42.00,CH 777,Kliq-Knob-Handle-CH 777-40MM-Black Matt,Nos
65293dd116276a61f95c23dc,Kliq,Handle,Knob,CH 777,65MM,Rosegold Glossy,1357,1.49,2022,8302.42.00,CH 888,Kliq-Knob-Handle-CH 777-65MM-Rosegold Glossy,Nos
65293dd316276a61f95c23de,Kliq,Handle,Knob,CH 777,65MM,Rosegold Graphite,1357,1.49,2022,8302.42.00,CH 888,Kliq-Knob-Handle-CH 777-65MM-Rosegold Graphite,Nos
65293dd416276a61f95c23e0,Kliq,Handle,Knob,CH 777,65MM,Gold Glossy,1357,1.49,2022,8302.42.00,CH 888,Kliq-Knob-Handle-CH 777-65MM-Gold Glossy,Nos
65293dd616276a61f95c23e2,Kliq,Handle,Knob,CH 777,65MM,Black Glossy,2006,1.49,2989,8302.42.00,CH 888,Kliq-Knob-Handle-CH 777-65MM-Black Glossy,Nos
65293dd716276a61f95c23e4,Kliq,Handle,Knob,CH 777,65MM,Black Matt,2006,1.49,2989,8302.42.00,CH 888,Kliq-Knob-Handle-CH 777-65MM-Black Matt,Nos
65293dd916276a61f95c23e6,Kliq,Handle,Knob,CH 111,40MM,Rosegold Glossy,1121,1.49,1670,8302.42.00,CH 111,Kliq-Knob-Handle-CH 111-40MM-Rosegold Glossy,Nos
65293dda16276a61f95c23e8,Kliq,Handle,Knob,CH 111,40MM,Rosegold Graphite,1121,1.49,1670,8302.42.00,CH 111,Kliq-Knob-Handle-CH 111-40MM-Rosegold Graphite,Nos
65293ddc16276a61f95c23ea,Kliq,Handle,Knob,CH 111,40MM,Gold Glossy,1121,1.49,1670,8302.42.00,CH 111,Kliq-Knob-Handle-CH 111-40MM-Gold Glossy,Nos
65293ddd16276a61f95c23ec,Kliq,Handle,Knob,CH 111,40MM,Black Glossy,1121,1.49,1670,8302.42.00,CH 111,Kliq-Knob-Handle-CH 111-40MM-Black Glossy,Nos
65293ddf16276a61f95c23ee,Kliq,Handle,Knob,CH 111,40MM,Black Matt,1121,1.49,1670,8302.42.00,CH 111,Kliq-Knob-Handle-CH 111-40MM-Black Matt,Nos
65293de116276a61f95c23f0,Kliq,Handle,Knob,CH 111,65MM,Rosegold Glossy,1652,1.49,2461,8302.42.00,CH 222,Kliq-Knob-Handle-CH 111-65MM-Rosegold Glossy,Nos
65293de216276a61f95c23f2,Kliq,Handle,Knob,CH 111,65MM,Rosegold Graphite,1652,1.49,2461,8302.42.00,CH 222,Kliq-Knob-Handle-CH 111-65MM-Rosegold Graphite,Nos
